batch_size,seq_len,flops,mem_bytes,cpu,mem,gpu,gpu_mem,gpu_clk,gpu_mem_clk,times_mean,gpu_energy_mean,energy_mean,level_name,model_name
8,32,1.96608,7.597900390625,5.206837606837606,5.0,39.72649572649573,12.0,1809.0,5005.0,0.00010968675555573014,0.0138778506615215,0.02652014057331864,embeddings:BertEmbeddings,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.0.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.1.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.2.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.3.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.4.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.5.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.6.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.7.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.8.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.9.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.10.attention.self:BertSelfAttention,bert-base-uncased
8,32,932.41344,69.375,5.697435897435898,5.0,95.90598290598291,27.71794871794872,1768.2991452991453,5005.0,0.0002839985294559403,0.06944260740740742,0.10097590740740742,encoder.layer.11.attention.self:BertSelfAttention,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.0.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.1.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.2.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.3.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.4.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.5.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.6.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.7.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.8.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.9.attention.output:BertSelfOutput,bert-base-uncased
8,32,303.955968,25.5,5.881451612903226,5.0,100.0,30.330645161290324,1543.9596774193549,5005.0,8.845189890737605e-05,0.01645748055322716,0.026514520955574182,encoder.layer.10.attention.output:BertSelfOutput,bert-base-uncased
