batch_size,seq_len,flops,mem_bytes,cpu,mem,gpu,gpu_mem,gpu_clk,gpu_mem_clk,times_mean,gpu_energy_mean,energy_mean,level_name,model_name
8.0,32.0,43928.543744,3182.424072265625,8.50655737704918,12.0,96.0,31.0,1899.27868852459,3802.0,0.014718838930130006,2.4672465500000005,4.038110785714286,bert-base-uncased,bert-base-uncased
8.0,64.0,88468.120576,3851.52783203125,8.526446280991737,12.0,97.86776859504133,44.0,1898.0,3802.0,0.025603321194648743,4.7938544375,7.546559250000002,bert-base-uncased,bert-base-uncased
8.0,96.0,133628.192256,4601.631591796875,8.525203252032519,12.0,98.0,50.1219512195122,1898.0,3802.0,0.03755588361195156,7.236556357142856,11.36515875,bert-base-uncased,bert-base-uncased
8.0,128.0,179408.758784,5432.7353515625,8.521259842519685,13.0,100.0,47.0,1898.0,3802.0,0.049139785766601565,8.839289863636367,14.254252727272732,bert-base-uncased,bert-base-uncased
8.0,160.0,225809.82016,6344.839111328125,8.552631578947368,13.0,100.0,50.54135338345865,1895.4586466165413,3802.0,0.05637927234172821,11.06162885,17.208862,bert-base-uncased,bert-base-uncased
8.0,192.0,272831.376384,7337.94287109375,8.567883211678833,13.0,100.0,49.52554744525548,1898.6642335766423,3802.0,0.07290282994508743,13.704105875000003,21.566231875,bert-base-uncased,bert-base-uncased
8.0,224.0,320473.427456,8412.046630859375,8.520863309352519,13.0,100.0,51.223021582733814,1898.0,3802.0,0.08430367112159728,16.111700821428574,25.330473571428573,bert-base-uncased,bert-base-uncased
8.0,256.0,368735.973376,9567.150390625,8.495744680851065,13.0,100.0,51.02127659574468,1898.0,3802.0,0.09991773168245952,18.686324916666667,29.59505208333334,bert-base-uncased,bert-base-uncased
16.0,32.0,87857.087488,6362.504150390625,8.520661157024794,12.0,97.0,42.0,1898.0,3802.0,0.025591679215431214,4.7871334875,7.542804375000001,bert-base-uncased,bert-base-uncased
16.0,64.0,176936.241152,7700.61767578125,8.512295081967213,12.0,100.0,45.26229508196721,1902.155737704918,3802.0,0.04734133102677085,8.621320500000001,13.73651,bert-base-uncased,bert-base-uncased
16.0,96.0,267256.384512,9200.731201171875,8.53076923076923,13.0,100.0,46.94615384615385,1899.3,3802.0,0.0694796621799469,13.0897885625,20.604982812499998,bert-base-uncased,bert-base-uncased
16.0,128.0,358817.517568,10862.8447265625,8.518461538461539,13.0,100.0,48.63076923076923,1898.0,3802.0,0.09236023823420207,17.28818683333333,27.116430833333332,bert-base-uncased,bert-base-uncased
16.0,160.0,451619.64032,12686.958251953125,8.504580152671757,14.0,100.0,51.01526717557252,1898.0,3802.0,0.11162878274917602,22.1073661,34.0794495,bert-base-uncased,bert-base-uncased
16.0,192.0,545662.752768,14673.07177734375,8.49846153846154,14.0,100.0,51.94615384615385,1898.0,3802.0,0.13792506009340286,26.878387625000002,41.79227937500001,bert-base-uncased,bert-base-uncased
16.0,224.0,640946.854912,16821.185302734375,8.54709677419355,15.0,100.0,52.99354838709677,1898.0,3802.0,0.16508671790361404,32.0886294375,50.10810562499999,bert-base-uncased,bert-base-uncased
16.0,256.0,737471.946752,19131.298828125,8.514925373134329,16.0,100.0,53.6044776119403,1898.6791044776119,3802.0,0.19048606157302855,37.06503908333334,57.773140000000005,bert-base-uncased,bert-base-uncased
24.0,32.0,131785.631232,9542.584228515625,8.574418604651163,12.0,98.0,48.0,1896.3875968992247,3802.0,0.03646852453549703,7.156754066666667,11.103524499999999,bert-base-uncased,bert-base-uncased
24.0,64.0,265404.361728,11549.70751953125,8.498425196850395,13.0,100.0,46.0,1898.4094488188975,3802.0,0.0678226336836815,12.76117909375,20.199724062500003,bert-base-uncased,bert-base-uncased
24.0,96.0,400884.576768,13799.830810546875,8.483098591549297,13.0,100.0,48.86619718309859,1894.4295774647887,3802.0,0.10058653255303701,19.507262000000004,30.247172083333332,bert-base-uncased,bert-base-uncased
24.0,128.0,538226.276352,16292.9541015625,8.543506493506493,13.0,100.0,51.07142857142857,1898.0,3802.0,0.13137378096580504,25.8496339,40.500757500000006,bert-base-uncased,bert-base-uncased
24.0,160.0,677429.46048,19029.077392578125,8.557961783439492,15.0,100.0,51.98726114649681,1898.0,3802.0,0.16663575768470765,33.38189912500001,51.408085,bert-base-uncased,bert-base-uncased
24.0,192.0,818494.129152,22008.20068359375,8.522448979591834,17.0,100.0,52.27210884353742,1898.0,3802.0,0.20735877752304077,40.76337633333334,63.18459416666667,bert-base-uncased,bert-base-uncased
24.0,224.0,961420.282368,25230.323974609375,8.562790697674417,16.0,100.0,53.645348837209305,1899.7383720930231,3802.0,0.244283264875412,48.23566116666665,74.96236416666669,bert-base-uncased,bert-base-uncased
24.0,256.0,1106207.920128,28695.447265625,8.553999999999998,17.0,100.0,54.895,1892.67,3802.0,0.2831092099348704,55.75753641666667,86.7048025,bert-base-uncased,bert-base-uncased
32.0,32.0,175714.174976,12722.664306640625,8.487704918032785,13.0,100.0,44.0,1898.0,3802.0,0.04722583619031039,8.530830659090912,13.648484772727272,bert-base-uncased,bert-base-uncased
32.0,64.0,353872.482304,15398.79736328125,8.512698412698414,13.0,100.0,46.94444444444444,1898.0,3802.0,0.08914149304231007,16.867623833333333,26.28835375,bert-base-uncased,bert-base-uncased
32.0,96.0,534512.769024,18398.930419921875,8.564473684210526,14.0,100.0,49.99342105263158,1893.296052631579,3802.0,0.1294780933856964,25.650828250000004,39.86926700000001,bert-base-uncased,bert-base-uncased
32.0,128.0,717635.035136,21723.0634765625,8.541818181818183,15.0,100.0,51.14545454545455,1892.4060606060607,3802.0,0.17568840235471725,34.6099929375,54.074779375,bert-base-uncased,bert-base-uncased
8.0,32.0,21960.327168,1592.25390625,8.4725,11.0,96.0,32.0,1898.0,3802.0,0.007382741527280945,1.2601431702898551,2.0654205434782615,distilbert-base-uncased,distilbert-base-uncased
8.0,64.0,44228.542464,1911.0078125,8.494214876033057,11.0,97.28099173553719,43.0,1898.0,3802.0,0.012851221859455109,2.4482558500000002,3.8422231250000007,distilbert-base-uncased,distilbert-base-uncased
8.0,96.0,66804.645888,2252.26171875,8.544354838709678,11.0,98.0,49.0,1898.0,3802.0,0.018850652022021158,3.710613982142857,5.808522053571428,distilbert-base-uncased,distilbert-base-uncased
8.0,128.0,89688.63744,2616.015625,8.476229508196722,12.0,100.0,45.0,1898.0,3802.0,0.024570663486208233,4.5376521428571435,7.199811666666667,distilbert-base-uncased,distilbert-base-uncased
8.0,160.0,112880.51712,3002.26953125,8.526399999999999,12.0,100.0,48.0,1898.0,3802.0,0.02796788497974998,5.599378578947369,8.73864197368421,distilbert-base-uncased,distilbert-base-uncased
8.0,192.0,136380.284928,3411.0234375,8.5755905511811,12.0,100.0,46.125984251968504,1898.0,3802.0,0.035978971322377526,6.856849700000001,10.74433716666667,distilbert-base-uncased,distilbert-base-uncased
8.0,224.0,160187.940864,3842.27734375,8.510236220472441,12.0,100.0,47.0,1898.0,3802.0,0.041560873159995446,8.092512942307694,12.696132884615386,distilbert-base-uncased,distilbert-base-uncased
8.0,256.0,184303.484928,4296.03125,8.544881889763774,12.0,100.0,47.0,1898.0,3802.0,0.04900682676922191,9.353611340909092,14.662577272727274,distilbert-base-uncased,distilbert-base-uncased
16.0,32.0,43920.654336,3184.5078125,8.540495867768596,11.0,97.10743801652893,43.0,1898.0,3802.0,0.012872126698493958,2.4382029,3.8656714375,distilbert-base-uncased,distilbert-base-uncased
16.0,64.0,88457.084928,3822.015625,8.526829268292683,12.0,100.0,44.0,1897.6829268292684,3802.0,0.023909900947050616,4.367498204545455,6.955689090909091,distilbert-base-uncased,distilbert-base-uncased
16.0,96.0,133609.291776,4504.5234375,9.231147540983606,11.073770491803279,100.0,45.52459016393443,1898.0,3802.0,0.03467034856478373,6.596864733333334,10.40646216666667,distilbert-base-uncased,distilbert-base-uncased
16.0,128.0,179377.27488,5232.03125,8.526356589147285,12.0,100.0,46.55813953488372,1898.0,3802.0,0.04599153647820155,8.762735354166667,13.57059708333333,distilbert-base-uncased,distilbert-base-uncased
16.0,160.0,225761.03424,6004.5390625,8.552307692307693,12.0,100.0,48.91538461538462,1897.9,3802.0,0.05518923878669739,11.131972725,17.382865500000005,distilbert-base-uncased,distilbert-base-uncased
16.0,192.0,272760.569856,6822.046875,8.502343750000001,13.0,100.0,49.0078125,1898.0,3802.0,0.06771914064884185,13.54152903125,20.9325621875,distilbert-base-uncased,distilbert-base-uncased
16.0,224.0,320375.881728,7684.5546875,8.453383458646618,13.0,100.0,48.86466165413534,1892.1353383458647,3802.0,0.08132529769624983,15.869407714285714,24.457645,distilbert-base-uncased,distilbert-base-uncased
16.0,256.0,368606.969856,8592.0625,8.547727272727272,13.0,100.0,49.00757575757576,1885.0,3802.0,0.09376784861087799,18.199340791666668,27.997420416666667,distilbert-base-uncased,distilbert-base-uncased
24.0,32.0,65880.981504,4776.76171875,8.558677685950412,11.0,98.0,48.0,1885.0,3802.0,0.018479061552456447,3.578496053571429,5.567551607142858,distilbert-base-uncased,distilbert-base-uncased
24.0,64.0,132685.627392,5733.0234375,8.5546875,12.0,100.0,45.4609375,1885.0,3802.0,0.03394492641091347,6.41811146875,10.028547031250001,distilbert-base-uncased,distilbert-base-uncased
